index,name,intl_name,brand_name,brand_intl_name,year_month,rank,score,f1,f2,f3,f4,f5,f6,flavour_tags,checkin_count,pictures,id,f_mean
21,桃川,Momokawa,青森県,Aomori,202001,4,4.0067009925842285,0.3168771266937256,0.2941232919692993,0.21081972122192386,0.5886300206184387,0.4968143999576569,0.4187189638614655, マイルド リンゴ ジュース チーズ ほのか 辛口 あっさり フルーティ ワイン 甘味 軽快 昔ながら ちびちび グイグイ 丸み コク 旨味 ふくよか スッキリ 梨,162,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/Qpnuk2OEvROBm|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2rOKXFB7Srl4wf|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2Q35STbuUpjKJG,21,0.3876639207204183
22,善知鳥,Uto,青森県,Aomori,202001,5,4.006646156311035,0.5547711253166199,0.3112878799438477,0.15385013818740845,0.3908663392066956,0.3613066673278809,0.5369729995727539, ひろがる 丸み 梨 マスカット さっぱり 柑橘 どっしり 華やか バランス さらり ピリリ 甘味 上品 ふんわり スッキリ フレッシュ 綺麗 穏やか 酸味 コク,46,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2Av3yHeKtmWASJ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2erbRtdUOfpwtM|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/26TgqBu5czfoJF,22,0.38484252492586773
23,じょっぱり,Joppari,青森県,Aomori,202001,6,4.006624698638916,0.46104311943054205,0.3493344187736511,0.20256587862968445,0.3772110342979431,0.5116750597953796,0.469331681728363, 桜 辛口 ライチ なめらか 燗酒 レモン 冷酒 グイグイ リンゴ 花 キャラメル 安定 甘味 上品 芳醇 スッキリ 複雑 常温 柔らかい 優しい,129,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/Mbfeza5B9Br7J|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/11pl44jrACGHSz|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/SClLCfRdd7W0j,23,0.39519353210926056
24,六根,Rokkon,青森県,Aomori,202001,7,4.006622791290283,0.3757586181163788,0.4450606405735016,0.2601657807826996,0.4854487180709839,0.3454698920249939,0.4878835380077362, チョコレート 酸味 旨味 控えめ バランス 甘味 みずみずしい 辛口 レモン 芳醇 スッキリ 華やか ツン ラムネ するする 常温 ちびちび しっかり さわやか ガス,128,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1lfIw4Noc7dCS1|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1MkG7o9dYx1Z12|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/spbBXtEte1MjO,24,0.39996453126271564
25,喜久泉,Kikuizumi,青森県,Aomori,202001,8,4.0066165924072275,0.5326163768768309,0.3813379108905792,0.30093371868133545,0.24816273152828214,0.3668822646141052,0.5330597758293152, 梨 マスカット 洋梨 アミノ酸 リンゴ 厚み キャラメル 桃 複雑 心地よい 豊か あっさり するする どっしり さらり なめらか スッキリ 甘味 ガス 上品,79,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/13flWHF4fdRLjN|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/25JHFFNG2U9BBD|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2ON6NjzBIlhVFQ,25,0.39383212973674137
26,鳩正宗,,青森県,Aomori,202001,9,4.006614685058594,0.4680116176605225,0.37583643198013306,0.2918512225151062,0.3090154230594635,0.5447115898132324,0.4029065370559693, リンゴ 酸味 ワイン さわやか 甘味 レモン フルーティ 芳醇 いちご 蜜 レーズン 重い じっくり 苦味 爽快 じわじわ 優しい 旨味 ガス スッキリ,132,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2lM4impXKNAy1k|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1n2L1IGFafCXda|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/20MnEaV5411ap6,26,0.39872213701407117
27,亀吉,Kamekichi,青森県,Aomori,202001,10,4.006614685058594,0.35739605982478895,0.3963545164327372,0.30305416993037804,0.4682809942070891,0.40486725128030765,0.42238596661148564, ふっくら 蜜 梨 ほのか どっしり 冷酒 軽快 華やか まろやか キレ 常温 濃厚 フルーティ 辛口 旨味,45,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1yCkhRm8k7Cy4y|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/QOMiPARN7kA8P|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1SLDkfPERcWvm0,27,
28,華一風,,青森県,Aomori,202001,11,4.006614208221436,0.7534643411636353,0.2985859215259552,0.041378505527973175,0.013759180903434752,0.4205966591835022,0.4053823947906494, ハーブ 華やか フレッシュ 桜 ピリリ 梨 ジューシー フルーティ 豊か バランス メロン 甘味 苦味 旨味 キレ 常温 辛口 酸味 スッキリ,47,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1zHJfsP3sbL5nJ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/BKVGSWJ2yCZoz|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/ufiPDVGKOPyAd,28,0.32219450051585835
29,作田,,青森県,Aomori,202001,12,4.006612777709962,0.3359665452558549,0.3865699254609156,0.3512200648346832,0.484257792524439,0.39503721569858147,0.41052766055345935, 複雑 ツン するする どっしり 柔らかい 優しい コク ほのか 甘味 酸味 旨味 スッキリ 辛口,19,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/3G4VCpP6bW2at|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2Urvlm2S1M5iqW|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2dlAgGqx34ib4x,29,
30,八鶴,Hachitsuru,青森県,Aomori,202001,13,4.006611347198486,0.2869223654270172,0.3254396915435791,0.3431232869625092,0.5666345357894897,0.4514618217945099,0.4112644791603088, 透き通る ミルク 花 キャラメル ふくよか ヨーグルト ツン どっしり 苦味 薄い 熱燗 甘味 辛口 ふんわり 優しい 穏やか 旨味 キレ さっぱり 濃厚,36,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1NLhoKaNZp0QWT|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1HtOBfllLWLSwi|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1nFCu1HWselePJ,30,0.39747436344623566
